base,exchange_count,ace,ascendex,bequant,bigone,binance,binanceus,bingx,bit2c,bitbank,bitbay,bitbns,bitcoincom,bitfinex,bitfinex2,bitflyer,bitget,bitmart,bitmex,bitopro,bitrue,bitso,bitstamp,bitvavo,bl3p,btcalpha,btcbox,btcmarkets,btcturk,bybit,cex,coinbaseprime,coinbasepro,coincheck,coinex,coinlist,coinmate,coinone,coinsph,coinspot,cryptocom,currencycom,delta,deribit,digifinex,exmo,fmfwio,gate,gateio,gemini,hitbtc,hitbtc3,hollaex,htx,huobi,huobijp,independentreserve,indodax,kraken,kucoin,kuna,latoken,lbank,luno,lykke,mercado,mexc,ndax,novadax,oceanex,okcoin,okx,p2b,paymium,phemex,poloniex,probit,timex,tokocrypto,upbit,wavesexchange,wazirx,whitebit,woo,yobit,zaif,zonda
AIDOGE,18,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,X,,,X,X,,X,X,,X,X,,,,,,,,X,,,,X,,X,,,X,,,,X,,,,,,,,,,,
AKT,18,,X,,,,,X,,,,,,,,,,,,,X,,,X,,,,,,,,X,X,,X,,,,,,X,,,,,,,X,X,,X,X,,X,X,,,,X,X,,,,,,X,,,,,,,,,,,,,,X,,,,,,,
ORDER,18,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,X,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,X,,,,X,,X,,,,,,,,,,,,,,X,X,,,
AERO,18,,,,,,,X,,,,,,,,,X,,,,X,,,X,,,,,,,,X,X,,X,,,X,,,X,,,,,,,X,X,,X,X,,,,,,X,,X,,X,,,,,,,X,,,,,,X,,,,,,,,,,,,
ACS,18,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,X,X,,X,,,,,,X,,,,,,,X,X,,X,X,,X,X,,,,,X,,,X,,,,X,,,,,,,,X,,,,,X,,,,,,,
ATLAS,18,,X,,,,,X,,,,,X,,,,X,X,,,X,,,,,,,,,,,,,,X,,,,X,,,,,,,,X,X,X,,X,X,,,,,,,X,,,X,,,,X,X,,,,,,,,,X,,,,,,,,,,,
CTC,18,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,X,,,,,X,,,,,,X,,,,,,,X,X,,X,X,,X,X,,,X,,X,,,X,,,,X,,,,,X,,,,X,,,,X,,,,,,,
LMWR,18,,,,,,,X,,,,,,,,,X,X,,,,,X,X,,,,,,X,,,,,X,,,,,,X,,,,,,,X,X,,,,,X,X,,,,X,X,,X,X,,,,X,,,,,,,,,X,,,,,,,,,,,
XCN,18,,,,,,,X,,,,,,,,,X,,,,X,,,,,,,,X,,,X,X,,X,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,X,X,,X,,,,,X,,,,,,,,,X,,,,,,,,,,,
DBR,18,,,,,,,X,,,,,,,,,X,X,,,X,,,X,,,,,,X,,,,,X,,,X,,,X,,,,,,,X,X,,,,,X,X,,,,X,X,,,,,,,X,,X,,,,,,X,,,,,,,,,,,,
PRIME,18,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,X,,X,X,,X,,,X,,,X,,,,,,,X,X,,X,X,,,,,,,X,,,X,,,,X,,,,,,,,,X,X,,,,,,,,X,,,
MERL,18,,X,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,X,,,,X,,X,,,X,,,X,X,,,,,,,,X,,,
MOCA,18,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,X,,X,,,,,,,,,,X,X,,,,,X,X,,,X,,X,,,,,,X,X,,X,,,,,,,X,,,,,,,,,,,
MUBI,18,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,X,,,X,X,,,,,X,X,,,,,X,,X,X,,,,X,,X,,,,,,,X,,,,,,,,X,,,
SD,18,,,,,,,X,,,,,,,,,X,,,,X,,,,,,,,,X,,X,X,,X,,,,,,X,,,,,,,X,X,,,,,X,X,,,,,X,,X,,,,X,X,,,,,X,,,,,X,,,,,,,,,,
BOSON,18,,,,,,X,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,X,X,X,,X,X,,X,X,,,,,X,,X,,,,,X,,,,,,,,,,,,,,,,,,X,,
DAO,17,,X,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,X,,X,X,,X,X,,,X,,X,,X,,,,X,X,,,,,X,,,X,,,,,,,,,,,,
NAKA,17,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,,,,,,X,,X,,,,,,,X,,,,,,X,,,,,
WEMIX,17,,,,,,,X,,,,X,,,,,X,X,,,,,,,,,,,,X,,,,,X,,,X,,,X,,,,,,,X,X,,,,,X,X,,,X,,X,,,,,,X,X,,,,,,,,,,X,,,,,,,,,,
STETH,17,,,,,,,X,,,,,X,,,,X,,,,X,,,,,,,,,X,,,,,,,,,,,,,,X,,,X,X,X,,X,X,,X,X,,,,,,,X,,,,,X,,,,,X,,,X,,,,,,,,,,,,
ZEUS,17,,,,,,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,,X,,,X,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,X,,,,X,,X,,,X,,,X,X,,,,,,X,,,,,
TOMI,17,,,,,,,X,,,,,,X,X,,X,X,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,
RARI,17,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,X,X,X,,X,,,,,,X,,,,,,,X,X,,X,X,,,,,,,X,,,,,,,X,X,,,,,,,,,X,,,,,,,,,,,
ICE,17,,X,,X,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,,X,X,,,,,X,,X,X,,,,,,X,,,X,X,,,,X,,,,,,,,,,
PSTAKE,17,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,X,,,,,,,X,X,,,,,X,X,,,,X,X,,X,,,,,X,,,,,X,,,X,,,,,,,,,,,,
SLERF,17,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,X,,,,,X,,,,X,,X,,,X,,,X,X,,,,,,,,X,,,
SPA,17,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,X,X,,X,,,X,,,X,,,,,,,X,X,,X,X,,X,X,,,,,X,,X,,,,,X,,,,,,,,X,,,,,,,,,,,,
EVER,17,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,X,,,,,X,,,X,,,,,,,,,X,X,X,,X,X,,X,X,,,X,,X,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,
CEEK,17,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,X,,,,X,X,,,,,X,,,X,,X,,,,,,,,,,
JAM,17,,,X,X,,X,,,,,,X,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,X,,X,,,,,X,,,,,,,,,,,,,,,,X,,,,
XEN,17,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,,X,,,,X,,X,,,,,,X,X,,,,,,,,,,,
AURORA,17,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,X,,X,X,,X,,,,,,X,,,,,,,X,X,,X,X,,X,X,,,,,X,,X,,,,,X,,,,,,,,,,,,,,,,X,,,,
