title,link,published,description,author,category,guid
For Sale - The Line Phahon-Pradipat : The Line พหลฯ-ประดิพัทธ์,http://www.ddproperty.com/property/-ขาย-11383954,"Fri, 01 Nov 2024 20:17:34 +0700","฿ 5,590,000 บาท,
       34 sqft / 3.16 sqm (built-up)        - Condo,
       21 ประดิพัทธิ์ (TH1014)",,Condo For Sale,
For Sale - Prime Mansion Sukhumvit 31 : ไพรม แมนชั่น สุขุมวิท 31,http://www.ddproperty.com/property/-ขาย-11568839,"Fri, 01 Nov 2024 20:16:34 +0700","฿ 19,000,000 บาท,
       137 sqft / 12.73 sqm (built-up)        - Condo,
       222 ซอยสุขุมวิท 31 ถนนสุขุมวิท (TH1039)",,Condo For Sale,
For Sale - The Ritz-Carlton Residences,http://www.ddproperty.com/property/-ขาย-11595003,"Fri, 01 Nov 2024 20:14:00 +0700","฿ 275,000,000 บาท,
       409 sqft / 37.97 sqm (built-up)        - Condo,
       114 Narathiwat Ratchanakarin Road (TH1004)",,Condo For Sale,
For Sale - Mori Haus : โมริ เฮาส์,http://www.ddproperty.com/property/-ขาย-11383862,"Fri, 01 Nov 2024 20:14:00 +0700","฿ 12,950,000 บาท,
       73 sqft / 6.74 sqm (built-up)        - Condo,
        ซอยอ่อนนุช 1/1 ถนนสุขุมวิท 77 (TH1039)",,Condo For Sale,
For Sale - Watermark Chaophraya : วอร์เตอร์มาร์ค เจ้าพระยา,http://www.ddproperty.com/property/-ขาย-11573426,"Fri, 01 Nov 2024 20:11:34 +0700","฿ 29,900,000 บาท,
       273 sqft / 25.36 sqm (built-up)        - Condo,
        ซอยเจริญนคร 39-41 ถนนเจริญนคร (TH1018)",,Condo For Sale,
For Sale - Watermark Chaophraya : วอร์เตอร์มาร์ค เจ้าพระยา,http://www.ddproperty.com/property/-ขาย-11572189,"Fri, 01 Nov 2024 20:11:34 +0700","฿ 10,500,000 บาท,
       105 sqft / 9.77 sqm (built-up)        - Condo,
        ซอยเจริญนคร 39-41 ถนนเจริญนคร (TH1018)",,Condo For Sale,
For Sale - Watermark Chaophraya : วอร์เตอร์มาร์ค เจ้าพระยา,http://www.ddproperty.com/property/-ขาย-11571987,"Fri, 01 Nov 2024 20:11:34 +0700","฿ 16,000,000 บาท,
       146 sqft / 13.56 sqm (built-up)        - Condo,
        ซอยเจริญนคร 39-41 ถนนเจริญนคร (TH1018)",,Condo For Sale,
For Sale - The Base Petchaburi-Thonglor,http://www.ddproperty.com/property/-ขาย-11595044,"Fri, 01 Nov 2024 20:08:34 +0700","฿ 4,290,000 บาท,
       33 sqft / 3.07 sqm (built-up)        - Condo,
        ถนนเพชรบุรี (TH1017)",,Condo For Sale,
For Sale - Liv @ 49,http://www.ddproperty.com/property/-ขาย-11595022,"Fri, 01 Nov 2024 20:08:34 +0700","฿ 17,390,000 บาท,
       95 sqft / 8.83 sqm (built-up)        - Condo,
       9 ซอยสุขุมวิท 49 (TH1039)",,Condo For Sale,
For Sale - The Sky Sukhumvit : เดอะ สกาย สุขุมวิท,http://www.ddproperty.com/property/-ขาย-11594989,"Fri, 01 Nov 2024 20:08:34 +0700","฿ 5,390,000 บาท,
       50 sqft / 4.65 sqm (built-up)        - Condo,
       103-4 ถนนสุขุมวิท (TH1047)",,Condo For Sale,
For Sale - PYNE by Sansiri : ไพน์ บาย แสนสิริ,http://www.ddproperty.com/property/-ขาย-11594954,"Fri, 01 Nov 2024 20:08:34 +0700","฿ 19,350,000 บาท,
       77 sqft / 7.15 sqm (built-up)        - Condo,
        ถนนพญาไท แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร (TH1037)",,Condo For Sale,
