date,1INCHUSDT,AAVEUSDT,ALGOUSDT,APEUSDT,APTUSDT,ARUSDT,ATOMUSDT,AUDIOUSDT,AVAXUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,FETUSDT,FTMUSDT,GALAUSDT,GALUSDT,GMTUSDT,HNTUSDT,HOTUSDT,IMXUSDT,KAVAUSDT,KSMUSDT,LTCUSDT,MANAUSDT,MATICUSDT,NEARUSDT,OCEANUSDT,OMGUSDT,ONEUSDT,RENUSDT,ROSEUSDT,RSRUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,SXPUSDT,THETAUSDT,TRXUSDT,UNIUSDT,WAVESUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT
2020-02-27,,,,,,,10373.527183212016,,,,10184.185972921985,,,,,,,,,,,7258.98847560001,10390.456926377958,,,,,,,,,,,10490.51911891003,,,,,,,,,,,,,,,,10720.634810086014,,,10314.321116128009,11103.934839459991,10176.636660922015,,
2020-02-28,,,,,,,10380.969508372016,,,,10199.874897305988,,,,,,,,,,,7262.496153680011,10399.567612867968,,,,,,,,,,,10500.747468564025,,,,,,,,,,,,,,,,10728.682187746008,,,10316.779831090007,11167.90660133999,10188.069522660011,,
2020-02-29,,,,,,,10390.520202172014,,,,10204.69311054599,,,,,,,,,,,7271.430915800011,10401.968468813973,,,,,,,,,,,10509.665396730028,,,,,,,,,,,,,,,,10733.576392282006,,,10319.68763828001,11225.049375659992,10192.340053410007,,
2020-03-01,,,,,,,10397.97467511401,,,,10213.117800909997,,,,,,,,,,,7277.585073140009,10405.710217711974,,,,,,,,,,,10521.615632542032,,,,,,,,,,,,,,,,10740.872195260012,,,10321.728600322009,11231.95669369999,10196.647187722005,,
2020-03-02,,,,,,,10397.92852010801,,,,10220.444273969997,,,,,,,,,,,7277.569184020009,10411.255636383978,,,,,,,,,,,10522.714923362033,,,,,,,,,,,,,,,,10779.145518140016,,,10321.707888010009,11268.989755439989,10196.616240186006,,
2020-03-03,,,,,,,10469.470330256001,,,,10225.291811378003,,,,,,,,,,,7297.225473440012,10414.60632325198,,,,,,,,,,,10535.910854790032,,,,,,,,,,,,,,,,10783.06018619602,,,10326.10081604601,11294.410880819987,10208.344314816002,,
2020-03-04,,,,,,,10505.629156776,,,,10226.729238634003,,,,,,,,,,,7298.535906100012,10420.86900028398,,,,,,,,,,,10541.859594810034,,,,,,,,,,,,,,,,10785.893830574021,,,10327.308641564008,11390.647991379998,10209.817849964002,,
2020-03-05,,,,,,,10519.227992265998,,,,10236.180569894,,,,,,,,,,,7298.5199265400115,10423.560330869977,,,,,,,,,,,10551.175426148033,,,,,,,,,,,,,,,,10821.091793394022,,,10327.287918772008,11468.083800539998,10216.456411100002,,
2020-03-06,,,,,,,10523.032419871999,,,,10237.580227690001,,,,,,,,,,,7298.19420988001,10425.884825627973,,,,,,,,,,,10554.540902098033,,,,,,,,,,,,,,,,10823.06933242002,,,10327.245735486009,11485.131691119996,10218.705667136004,,
2020-03-07,,,,,,,10525.915551613998,,,,10240.477806186005,,,,,,,,,,,7317.20188276001,10427.959584271975,,,,,,,,,,,10559.47062867604,,,,,,,,,,,,,,,,10824.549856242018,,,10331.603390998009,11505.904038499995,10220.942618868005,,
