date,AAVEUSDT,ADAUSDT,AGIXUSDT,ALGOUSDT,ALPHAUSDT,ANKRUSDT,APEUSDT,APTUSDT,ATOMUSDT,AUDIOUSDT,AVAXUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,DYDXUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,FETUSDT,FTMUSDT,GALAUSDT,GALUSDT,GMTUSDT,GRTUSDT,HBARUSDT,HOTUSDT,IMXUSDT,INJUSDT,KAVAUSDT,KSMUSDT,LINKUSDT,LTCUSDT,NEARUSDT,OCEANUSDT,OMGUSDT,ONEUSDT,OPUSDT,RENUSDT,RNDRUSDT,ROSEUSDT,RUNEUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,SXPUSDT,TRXUSDT,VETUSDT,WAVESUSDT,WOOUSDT,XRPUSDT,XTZUSDT,ZILUSDT,ZRXUSDT
2020-03-19,,0.01,,,,,,,0.01,,,,14903.227505829967,,,,,,,,,,,,11866.757943659977,15315.995385213919,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,10495.503609805999,23601.38267283994,,
2020-03-20,,0.01,,,,,,,0.01,,,,15271.93092277996,,,,,,,,,,,,11937.351365739978,15447.772699985924,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,10787.576354457991,24077.20451773993,,
2020-03-21,,0.01,,,,,,,0.01,,,,15370.43645600396,,,,,,,,,,,,11953.306317719975,15484.243051741929,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,10870.360893265988,24327.726203259932,,
2020-03-22,,0.01,,,,,,,0.01,,,,15439.618309891968,,,,,,,,,,,,11975.815175359978,15550.02343385992,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,10981.190529895986,24649.514862899927,,
2020-03-23,,0.01,,,,,,,0.01,,,,15662.020916921967,,,,,,,,,,,,11992.21557617998,15578.303815327925,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11050.479599891984,24802.352143259926,,
2020-03-24,,0.01,,,,,,,0.01,,,,15706.865536149966,,,,,,,,,,,,11994.94602857998,15598.21418587592,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11075.804453591983,24826.771847339925,,
2020-03-25,,0.01,,,,,,,0.01,,,,15752.389104091968,,,,,,,,,,,,12000.363602219977,15620.103891169925,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11097.256326709981,24909.23380867993,,
2020-03-26,,0.01,,,,,,,0.01,,,,15775.169075937969,,,,,,,,,,,,12014.038200099973,15644.53185725592,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11102.294401561981,24944.627588519914,,
2020-03-27,,0.01,,,,,,,0.01,,,,15846.559109421974,,,,,,,,,,,,12019.500300659973,15763.058686519917,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11166.606756391979,25030.673224939917,,
2020-03-28,,0.01,,,,,,,0.01,,,,15905.186941855975,,,,,,,,,,,,12033.736692839972,15798.447471611918,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11259.136635033974,25229.40670009992,,
2020-03-29,,0.01,,,,,,,0.01,,,,15918.994983445975,,,,,,,,,,,,12036.466519899972,15816.48245775392,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11287.149195885971,25263.14238265992,,
2020-03-30,,0.01,,,,,,,0.01,,,,15972.136654517974,,,,,,,,,,,,12039.196279239972,15826.902160209915,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11410.99471525397,25361.149486399925,,
2020-03-31,,0.01,,,,,,,0.01,,,,15989.171250211975,,,,,,,,,,,,12041.881849579971,15837.171616131922,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11416.396809847969,25372.85260263992,,
2020-04-01,,0.01,,,,,,,0.01,,,,16018.043466339972,,,,,,,,,,,,12044.57419819997,15853.358148615924,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11439.385616811971,25420.68158867992,,
2020-04-02,,0.01,,,,,,,0.01,,,,16076.447876291977,,,,,,,,,,,,12047.32014763997,15860.003758487921,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11455.214169763973,25445.556019859916,,
2020-04-03,,0.01,,,,,,,0.01,,,,16100.978273189976,,,,,,,,,,,,12055.51288163997,15864.661631215922,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11477.019831601974,25510.534335799923,,
2020-04-04,,0.01,,,,,,,0.01,,,,16140.880332969977,,,,,,,,,,,,12060.963141239969,15872.422456919925,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11492.675980939974,25547.428357519922,,
2020-04-05,,0.01,,,,,,,0.01,,,,16147.783146763977,,,,,,,,,,,,12066.361051959968,15890.926668109922,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11492.573507479974,25547.226822799923,,
2020-04-06,,0.01,,,,,,,0.01,,,,16181.033793741984,,,,,,,,,,,,12066.361051959968,15891.915135693922,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11503.980766783974,25553.571178639922,,
2020-04-07,,0.01,,,,,,,0.01,,,,16252.567768583982,,,,,,,,,,,,12071.805102319968,15913.156779117926,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11509.181403313974,25680.466632039937,,
2020-04-08,,0.01,,,,,,,0.01,,,,16272.736756207987,,,,,,,,,,,,12085.496081979967,15923.726485459923,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11579.267198029971,25723.85876969994,,
2020-04-09,,0.01,,,,,,,0.01,,,,16289.03169031599,,,,,,,,,,,,12093.655009179965,15950.568771713926,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11590.747912189972,25872.908000939944,,
2020-04-10,,0.01,,,,,,,0.01,,,,16391.936536303983,,,,,,,,,,,,12093.580808059965,15951.528063849928,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11777.78320252397,26190.864858699937,,
