date,AAVEUSDT,ALGOUSDT,APEUSDT,APTUSDT,ATOMUSDT,AUDIOUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,GALUSDT,GMTUSDT,HOTUSDT,IMXUSDT,KAVAUSDT,KSMUSDT,LTCUSDT,OMGUSDT,RENUSDT,ROSEUSDT,SANDUSDT,SKLUSDT,SUSHIUSDT,SXPUSDT,TRXUSDT,WOOUSDT,XTZUSDT,ZILUSDT,ZRXUSDT
2020-12-24,11558.220434540028,14741.00168079603,,,20621.963270919892,,10676.025916585966,13722.35193485613,,,11997.341560088005,,13791.43981692,11290.222189970978,12291.484603823337,11427.337325539987,11136.803703144049,,15133.981968420048,14009.65780852401,,,,,12854.319853580026,11550.565765740033,13954.472679048014,16926.747103604044,11066.236470076028,,,10534.857944493999,15061.906466639874,11562.974917395897,16633.629560296133,,20721.623062460025,14905.86644613199,14157.054388082017
2020-12-25,11565.75737814003,14778.189558768028,,,20747.519693523896,,10754.370953889966,13728.513091320125,,,12014.234310010004,,13878.396393439998,11305.464322503578,12318.057500440083,11431.122162339985,11136.803703144049,,15186.909653460049,14019.864071596014,,,,,12883.482041080022,11567.756743840035,14108.433542100012,16959.07975331004,11066.236470076028,,,10624.506675634,15100.439131059873,11574.515286539887,16686.66617770414,,20800.533324560027,14986.354855371983,14219.428349816018
2020-12-26,11572.249174140032,14785.673705740028,,,20760.71023357589,,10762.537490895967,13735.155960584127,,,12020.410894580004,,13897.98257888,11318.220514255983,12326.326304800083,11437.325697719982,11136.803703144049,,15203.981771060046,14033.584240614013,,,,,12893.696207396024,11579.693616240038,14184.621924200019,16965.94533727404,11078.20785747803,,,10721.547446237997,15124.929767899872,11577.438622913884,16692.48019954014,,20831.664695240022,15213.520533977973,14224.390185240018
2020-12-27,11584.537572540032,14837.950281236028,,,20811.684800767893,,10775.596936193966,13773.931482174134,,,12030.704534734004,,13930.549564180003,11340.368712259578,12370.334779240087,11462.118312299974,11136.803703144049,,15264.531166680046,14052.782459018013,,,,,12912.581703842025,11609.31939484004,14232.21835785602,17054.70051114004,11119.59778513003,,,10825.684541133995,15184.43007721987,11586.102066441876,17118.940866642137,,20926.107946080014,15448.20758248797,14365.040494556017
2020-12-28,11597.797159140035,14883.225448286028,,,20983.0009034199,,10784.680700993962,13786.04435664413,,,12050.693070446005,,13971.019541120002,11351.54834711318,12465.28905542009,11504.838759199965,11136.803703144049,,15297.156372500049,14057.982446342012,,,,,12933.975625332025,11700.17360196004,14272.388424808021,17071.636141992032,11119.51098789603,,,10851.426260133992,15221.487085499868,11593.655546923874,17139.92418139414,,21028.084948680007,15537.155575201969,14370.073374892017
2020-12-29,11601.036533740034,14924.643590558026,,,21064.887250513893,,10789.368161393963,13826.045422118137,,,12064.139434054008,,13983.299800960001,11360.023991672382,12641.68540100009,11511.487157399964,11193.559091084051,,15301.95027244005,14066.150255176015,,,,,12940.116619174027,11744.939755360027,14284.218792024025,17082.00833304803,11117.374141706028,,,10885.060834647993,15237.877362239866,11596.568982707873,17143.63514957814,,21075.381786060025,15601.981000771953,14375.139929412018
2020-12-30,11620.900031600035,14951.010252190028,,,21196.37732746189,,10796.010901393962,13833.802390770135,,,12063.953093664008,,14168.812570159998,11369.456221681981,12719.374560460092,11519.662201859965,11200.733397724049,,15309.85757796005,14066.150255176015,,,,,12946.251003426027,11872.546058580021,14287.180185360025,17105.885760076035,11308.865964312032,,,10888.957852667992,15279.132114799862,11608.177122383866,17148.81946528214,,21088.588123980026,15687.137215099958,14380.175393306017
2020-12-31,11622.491642600036,14966.105939172028,,,21350.77322353587,,10797.012972793962,13839.095730554136,,,12103.989990392009,,14203.019501259998,11375.81515185618,12797.886840020097,11524.550773859972,11212.862394104051,,15327.066147600053,14069.651635448014,,,,,12954.474306518028,11945.149499900022,14296.059005156023,17133.252937790032,11308.836624540032,,,10900.686087715992,15316.42902693986,11616.214536271867,17150.32503953814,,21104.69800262002,15831.839834081964,14390.282667690017
2021-01-01,11633.849366400036,14966.016473226027,,,21409.263439773877,,10815.299164359962,13844.999812848135,,,12114.369836724009,,14296.1775284,11426.348233959574,12873.990614580089,11543.850285659975,11239.524678584052,,15345.224984820054,14074.869121008014,,,,,12965.23520993803,11986.074908660028,14315.559520950022,17165.98035403803,11326.805287742034,,,10947.776810689995,15439.328614579861,11627.737345385864,17157.214932004143,,21168.429947260014,15914.442183671965,14401.548351720017
2021-01-02,11646.359462600038,14952.56564224927,,,21434.310113271855,,10827.559764359961,13854.703066210132,,,12126.845072684011,,14326.180394940002,12178.778118353179,12971.68446462008,11552.931486859976,11249.038000084052,,15368.081864780053,14082.364695682014,,,,,12979.650761344032,12032.433582860025,14385.31559382402,17223.105213040028,11339.000030148036,,,10959.561717381996,15508.214267099858,11636.038034857862,17169.375302940145,,21194.90146734002,15953.19693224597,14437.414047764018
